episode_id,household_day,household_id,cost_inr,import_kwh,peak_kw,mean_kw,peak_to_average,overrides,discomfort,unserved_kwh,infeasible_steps,outage_steps,policy
validation:ires_ap_ires_22f06c1f98013837:2023-03-26:serve_preferred,validation:ires_ap_ires_22f06c1f98013837:2023-03-26,ires_ap_ires_22f06c1f98013837,7.975821596244129,2.6586071987480437,0.5633411580594679,0.11077529994783515,5.085440150690173,0,0.0,0.0,0,4,serve_preferred (no demand response)
validation:ires_ap_ires_235a959de80b0663:2023-03-26:serve_preferred,validation:ires_ap_ires_235a959de80b0663:2023-03-26,ires_ap_ires_235a959de80b0663,46.935236571428575,7.82253942857143,0.8224199359243698,0.3259391428571429,2.5232315723577616,0,0.0,0.0,0,0,serve_preferred (no demand response)
validation:ires_ap_ires_235a959de80b0663:2023-12-20:serve_preferred,validation:ires_ap_ires_235a959de80b0663:2023-12-20,ires_ap_ires_235a959de80b0663,46.935236571428575,7.82253942857143,0.8224199359243698,0.3259391428571429,2.5232315723577616,0,0.0,0.0,0,0,serve_preferred (no demand response)
validation:ires_ap_ires_2c7c3773976fe166:2023-12-20:serve_preferred,validation:ires_ap_ires_2c7c3773976fe166:2023-12-20,ires_ap_ires_2c7c3773976fe166,6.938857681322528,2.3129525604408423,0.5447794920676604,0.09637302335170177,5.652821434059956,0,0.0,0.0,0,16,serve_preferred (no demand response)
validation:ires_ap_ires_2edf1cbd902d9ca4:2023-12-20:serve_preferred,validation:ires_ap_ires_2edf1cbd902d9ca4:2023-12-20,ires_ap_ires_2edf1cbd902d9ca4,20.32801995774559,4.517337768387909,0.4274771760565337,0.18822240701616288,2.271127985414753,0,0.0,0.0,0,4,serve_preferred (no demand response)
validation:ires_ap_ires_4cc5e2e80dd0090f:2023-09-18:serve_preferred,validation:ires_ap_ires_4cc5e2e80dd0090f:2023-09-18,ires_ap_ires_4cc5e2e80dd0090f,57.732734079203325,9.622122346533889,0.5886306911349117,0.40092176443891203,1.4681934066580231,0,0.0,0.0,0,4,serve_preferred (no demand response)
validation:ires_ap_ires_4cc5e2e80dd0090f:2023-12-20:serve_preferred,validation:ires_ap_ires_4cc5e2e80dd0090f:2023-12-20,ires_ap_ires_4cc5e2e80dd0090f,57.03516691502422,9.505861152504037,0.578490403467606,0.39607754802100154,1.4605483354409483,0,0.0,0.0,0,4,serve_preferred (no demand response)
validation:ires_ap_ires_5532f5f335874be3:2023-12-20:serve_preferred,validation:ires_ap_ires_5532f5f335874be3:2023-12-20,ires_ap_ires_5532f5f335874be3,6.352499999999999,2.1174999999999997,0.1985,0.08822916666666665,2.2498229043683593,0,0.0,0.0,0,4,serve_preferred (no demand response)
validation:ires_ap_ires_5668090f01e6b360:2023-03-26:serve_preferred,validation:ires_ap_ires_5668090f01e6b360:2023-03-26,ires_ap_ires_5668090f01e6b360,6.097999999999997,2.0326666666666666,0.22447099781579297,0.08469444444444445,2.6503627160933245,0,0.0,0.0,0,0,serve_preferred (no demand response)
validation:ires_ap_ires_5668090f01e6b360:2023-09-18:serve_preferred,validation:ires_ap_ires_5668090f01e6b360:2023-09-18,ires_ap_ires_5668090f01e6b360,6.097999999999998,2.032666666666666,0.22447099781579297,0.08469444444444442,2.6503627160933254,0,0.0,0.0,0,0,serve_preferred (no demand response)
