,count,mean,std,min,1%,50%,99%,max,missing_rows,code_88_rows,code_99_rows,code_9999_rows
television_available_source_code,14407.0,0.729714722010134,0.4441225477215262,0.0,0.0,1.0,1.0,1.0,444,0,0,0
television_available,14407.0,0.729714722010134,0.444122547721526,0.0,0.0,1.0,1.0,1.0,444,0,0,0
television_count,10513.0,1.0347189194330828,0.18667757082646377,1.0,1.0,1.0,2.0,4.0,4338,0,0,0
desktop_available_source_code,14406.0,0.011800638622796056,0.10799163434314284,0.0,0.0,0.0,1.0,1.0,445,0,0,0
desktop_available,14406.0,0.011800638622796056,0.10799163434314284,0.0,0.0,0.0,1.0,1.0,445,0,0,0
laptop_tablet_available_source_code,14406.0,0.040677495487991114,0.1975488441561317,0.0,0.0,0.0,1.0,1.0,445,0,0,0
laptop_tablet_available,14406.0,0.040677495487991114,0.19754884415613172,0.0,0.0,0.0,1.0,1.0,445,0,0,0
modem_router_available_source_code,14406.0,0.004373177842565598,0.06598753986908591,0.0,0.0,0.0,0.0,1.0,445,0,0,0
modem_router_available,14406.0,0.004373177842565598,0.06598753986908591,0.0,0.0,0.0,0.0,1.0,445,0,0,0
refrigerator_available_source_code,14407.0,0.36468383424724093,0.4813580976111713,0.0,0.0,0.0,1.0,1.0,444,0,0,0
refrigerator_available,14407.0,0.36468383424724093,0.48135809761117127,0.0,0.0,0.0,1.0,1.0,444,0,0,0
refrigerator_count,5254.0,1.0159878188047202,0.12694856506691868,1.0,1.0,1.0,2.0,3.0,9597,0,0,0
water_purifier_available_source_code,14392.0,0.026542523624235686,0.16074767025635445,0.0,0.0,0.0,1.0,1.0,459,0,0,0
water_purifier_available,14392.0,0.026542523624235686,0.16074767025635445,0.0,0.0,0.0,1.0,1.0,459,0,0,0
mixer_grinder_available_source_code,14392.0,0.2946081156197888,0.4558822374209688,0.0,0.0,0.0,1.0,1.0,459,0,0,0
mixer_grinder_available,14392.0,0.2946081156197888,0.45588223742096873,0.0,0.0,0.0,1.0,1.0,459,0,0,0
electric_kettle_available_source_code,14392.0,0.009032795997776542,0.09461409300109241,0.0,0.0,0.0,0.0,1.0,459,0,0,0
electric_kettle_available,14392.0,0.009032795997776542,0.09461409300109241,0.0,0.0,0.0,0.0,1.0,459,0,0,0
washing_machine_available_source_code,14407.0,0.09696675227320052,0.29592275941783286,0.0,0.0,0.0,1.0,1.0,444,0,0,0
washing_machine_available,14407.0,0.09696675227320052,0.29592275941783286,0.0,0.0,0.0,1.0,1.0,444,0,0,0
washing_machine_uses_weekly,1397.0,2.78453829634932,1.9381825495593272,1.0,1.0,2.0,7.0,8.0,13454,0,0,0
electric_iron_available_source_code,14339.0,0.28649138712601996,0.45213751119961065,0.0,0.0,0.0,1.0,1.0,512,0,0,0
electric_iron_available,14339.0,0.28649138712601996,0.4521375111996107,0.0,0.0,0.0,1.0,1.0,512,0,0,0
water_pump_available_source_code,14407.0,0.12799333657249948,0.3340939836396761,0.0,0.0,0.0,1.0,1.0,444,0,0,0
water_pump_available,14407.0,0.12799333657249948,0.3340939836396761,0.0,0.0,0.0,1.0,1.0,444,0,0,0
water_pump_capacity_hp,1118.0,1.5850178890876567,1.4636513708531738,0.5,0.5,1.0,8.0,10.0,13733,0,0,0
water_pump_daily_hours,1844.0,0.7386117136659436,1.0137446218995534,0.0,0.0,0.0,4.0,5.0,13007,0,0,0
water_pump_daily_minutes_source,1843.0,16.545849158979923,14.77230137883669,0.0,0.0,15.0,50.0,59.0,13008,0,0,0
electric_coil_available_source_code,14404.0,0.007220216606498195,0.08466748347893734,0.0,0.0,0.0,0.0,1.0,447,0,0,0
electric_coil_available,14404.0,0.007220216606498195,0.08466748347893736,0.0,0.0,0.0,0.0,1.0,447,0,0,0
induction_cooktop_available_source_code,14404.0,0.02284087753401833,0.14940120972450754,0.0,0.0,0.0,1.0,1.0,447,0,0,0
induction_cooktop_available,14404.0,0.02284087753401833,0.14940120972450754,0.0,0.0,0.0,1.0,1.0,447,0,0,0
microwave_available_source_code,14404.0,0.015273535129130798,0.12264297166303503,0.0,0.0,0.0,1.0,1.0,447,0,0,0
microwave_available,14404.0,0.015273535129130798,0.12264297166303503,0.0,0.0,0.0,1.0,1.0,447,0,0,0
electric_grill_toaster_available_source_code,14404.0,0.005345737295195779,0.07292139300853494,0.0,0.0,0.0,0.0,1.0,447,0,0,0
electric_grill_toaster_available,14404.0,0.005345737295195779,0.07292139300853494,0.0,0.0,0.0,0.0,1.0,447,0,0,0
electric_rice_cooker_available_source_code,14404.0,0.01902249375173563,0.136608689661218,0.0,0.0,0.0,1.0,1.0,447,0,0,0
electric_rice_cooker_available,14404.0,0.01902249375173563,0.136608689661218,0.0,0.0,0.0,1.0,1.0,447,0,0,0
sanctioned_load_source_value,4073.0,0.9157191259513873,1.1133528797037437,0.0,0.0,1.0,5.0,24.0,10778,0,0,0
district_survey_weight,14851.0,5748.87778135117,4666.605369989238,208.0,356.0,4548.0,24374.0,33850.0,0,0,0,0
state_survey_weight,14851.0,16370.163090409467,5601.880313224628,1630.0,3631.111111,16443.0,30887.01,42355.28,0,0,0,0
wealth_decile,14851.0,5.500303009898324,2.872518676099854,1.0,1.0,6.0,10.0,10.0,0,0,0,0
total_fan_count,1662.0,3.1883273164861614,1.1813454583977374,2.0,2.0,3.0,7.0,9.0,13189,0,0,0
total_led_light_count,14400.0,3.1694444444444443,2.2480795726779137,0.0,0.0,3.0,10.0,23.0,451,0,0,0
