house,days,usable,r_2019,r_2021
1,19,True,0.628999116252846,0.33997975932363345
2,19,True,0.41061385613130086,-0.2126124377855213
3,19,True,0.00012473056782726473,0.35350164395433464
4,19,True,0.8504221943107515,0.0404977920441295
5,19,True,0.34913787032179294,0.2930757876118135
6,19,True,0.6396191157542747,0.06769009737308188
7,19,True,0.8145744417179058,0.23002874756049657
8,19,True,0.8795147958918698,0.3782217037367578
9,19,True,0.06007734309719064,-0.4526531789224766
10,19,True,0.9006254066750081,0.1349837477969636
11,19,True,0.2264801942010913,0.21790430325055704
