block,clock,emarc_mean_kw,sharp_mean_kw,emarc_normalised,sharp_normalised
0,00:00,0.17503895806097952,0.1662018021596862,1.012579342070443,0.8885471509828818
1,00:15,0.17067130974642125,0.1642404427250584,0.9873130213282356,0.8780613420743991
2,00:30,0.16883299937010038,0.16346034287910993,0.9766786166677156,0.8738907766136605
3,00:45,0.16775893479276294,0.1627168526181259,0.9704652821328823,0.8699159331125886
4,01:00,0.16610849850670742,0.15492388538126914,0.9609177065121393,0.8282532149829798
5,01:15,0.16575617465176548,0.14092487004125165,0.9588795553417664,0.7534117569764832
6,01:30,0.16441415397191447,0.1390313210024421,0.9511161269478711,0.7432884756292445
7,01:45,0.16344076749060718,0.13785914748090644,0.9454852031024547,0.737021808063165
8,02:00,0.16235593220364128,0.13971793440772973,0.9392095613064835,0.746959244400505
9,02:15,0.16183800808355525,0.14263552869252236,0.9362134324985388,0.7625572707503374
10,02:30,0.16120646263831173,0.14618816341189325,0.9325600179757587,0.7815503467420584
11,02:45,0.1603376667424152,0.1454747148332218,0.9275341381007545,0.7777361119159989
12,03:00,0.15978118215466933,0.1494489003856935,0.9243149416203015,0.7989828806287307
13,03:15,0.1591410315210815,0.14762943264663184,0.9206117471168326,0.7892556523144721
14,03:30,0.15856445349977433,0.13904391497835294,0.9172763125373825,0.7433558054732637
15,03:45,0.15788634032028737,0.15026052923358046,0.9133535092669529,0.8033220062643998
16,04:00,0.1603788839898456,0.1452466132819979,0.9277725749250326,0.7765166366705979
17,04:15,0.16131371215192877,0.15786031994320215,0.9331804435263833,0.8439519651177488
18,04:30,0.1622144445456701,0.15350512301045638,0.9383910722043625,0.8206682354813966
19,04:45,0.16290859011198067,0.16402664909133327,0.942406620906332,0.8769183597380089
20,05:00,0.16684789105746217,0.15726857435053404,0.965195003582853,0.8407883781190547
21,05:15,0.17354734536484395,0.16816286047444426,1.0039505418352936,0.8990313500459907
22,05:30,0.17962542431849213,0.16169331530611822,1.0391114983224385,0.864443903623791
23,05:45,0.1858477395478055,0.17129191248527043,1.0751068443348277,0.9157598705154951
24,06:00,0.19357975145791692,0.2420046083158294,1.1198356042609119,1.2938036919548914
25,06:15,0.1956880427693007,0.1825134142235043,1.1320318161935154,0.9757522007411159
26,06:30,0.19555978322065362,0.16514028125800354,1.1312898501145237,0.8828720538380707
27,06:45,0.19676383458606547,0.17389133323821107,1.138255142600914,0.9296568792976985
28,07:00,0.1943784379456539,0.16517425100683159,1.1244559096331108,0.8830536627204567
29,07:15,0.19166156873707282,0.23259204936398184,1.1087391476837047,1.2434823216000326
30,07:30,0.18394006833624732,0.1817289379645675,1.064071195575919,0.9715582381255823
31,07:45,0.17906733632177818,0.19263702173472724,1.0358830263137493,1.0298749749522125
32,08:00,0.17515388476718222,0.180096161145368,1.013244179257788,0.9628290957694924
