datetime,temperature_source_value,relative_humidity_source_value,source_row,datetime_source,timestamp_source_clock
19-05-2019 07:59,33.4,45,2400,19-05-2019 07:59,2019-05-19 07:59:00
19-05-2019 07:59,33.9,42,2688,19-05-2019 07:59,2019-05-19 07:59:00
